epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,1.3953254532814026,0.41875,1.190670657157898,0.6225,0.6248030479142451,0.6224999999999999,0.6199064786028965
2,1.0972159123420715,0.60625,1.0135185813903809,0.665,0.6640819390070191,0.6650000000000001,0.6622843184270175
3,0.9481278645992279,0.658125,0.917315263748169,0.67,0.6702662072819681,0.67,0.6667502530909781
4,0.8653822088241577,0.6925,0.8572121429443359,0.705,0.7100197714011506,0.705,0.7052776391052917
5,0.8288811123371125,0.691875,0.8123786306381225,0.7075,0.7106412966878082,0.7075,0.7066900623402044
6,0.7781727027893066,0.724375,0.7789453554153443,0.71,0.7147826729745713,0.71,0.7109805450959298
7,0.7367427408695221,0.725,0.7497913479804993,0.7225,0.7249625367204258,0.7225,0.7226487756339963
8,0.7119290828704834,0.735,0.72756098985672,0.7375,0.7409125764152926,0.7375,0.736553044248911
9,0.6896332943439484,0.74,0.7077831053733825,0.7475,0.7501379558698407,0.7475,0.7463457113334078
10,0.6719986844062805,0.75375,0.693926055431366,0.7525,0.755054476339617,0.7525000000000001,0.7533428358795972
11,0.6484556877613068,0.765625,0.6788170528411865,0.755,0.7554828417766728,0.7549999999999999,0.7541081025597512
12,0.6422745382785797,0.7775,0.6703255963325501,0.7625,0.7716521417808787,0.7625,0.7623056082581037
13,0.6273171627521514,0.77625,0.6589801335334777,0.7725,0.7758493117061758,0.7725000000000001,0.7737171691747106
14,0.6249743449687958,0.77125,0.6481049251556397,0.76,0.7630287501200754,0.76,0.7605152598198957
15,0.5953960222005844,0.78,0.6384369587898254,0.7725,0.7756283444866341,0.7725,0.773551996144014
16,0.5765216761827469,0.794375,0.6309192085266113,0.765,0.7675251744814793,0.765,0.765146876565274
17,0.5720771712064743,0.791875,0.6225234818458557,0.775,0.7767437316834906,0.775,0.7754983666640108
18,0.5608562964200974,0.795625,0.6157285332679748,0.7675,0.7697992255941701,0.7674999999999998,0.7681319679200047
19,0.554629470705986,0.800625,0.6103056263923645,0.77,0.7723752769937509,0.7699999999999999,0.7707509978747894
20,0.547658194899559,0.803125,0.6055120754241944,0.7725,0.7743947048611217,0.7725,0.7728775333597855
21,0.5437590610980988,0.79625,0.5989248180389404,0.78,0.7815774425052282,0.78,0.7803265420583344
22,0.5296018654108048,0.811875,0.5951111555099488,0.7775,0.7797180303792117,0.7775000000000001,0.7781949536498992
23,0.5405013048648835,0.806875,0.5896503019332886,0.775,0.7764087739888186,0.775,0.7751692198202009
24,0.5275957351922989,0.821875,0.5854861998558044,0.7775,0.7794309256938197,0.7775000000000001,0.7778944141716078
25,0.5275587928295136,0.804375,0.5816492438316345,0.775,0.7775368934976292,0.775,0.7757154554639992
26,0.5142252904176712,0.805,0.5778986096382142,0.785,0.7864010623046769,0.7849999999999999,0.7852252237622095
27,0.517077893614769,0.814375,0.5764659237861633,0.7825,0.7867219831860094,0.7825,0.7837934908631394
28,0.5101997542381287,0.806875,0.5698154878616333,0.785,0.7879599743487926,0.7849999999999999,0.7860546994352026
29,0.5035404509305954,0.818125,0.5655246949195862,0.785,0.7878017465006912,0.7849999999999999,0.7859760830830013
30,0.4738770586252212,0.83875,0.5619962310791016,0.785,0.7877881145911407,0.7849999999999999,0.7858347565751853
